ref_num,authors,year,country,site_name,geo_area,N_pair,N_pair_state,latitude,longitude,elevation,elev_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrig_t1,years_since_irrig_t2,study_duration,study_duration_cat,irrig_method,irrig_methodcat,irrig_water_type,irrig_water_pH,irrig_water_bicarbonate,irrig_water_Ca,irrig_water_OC,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_cat_2,BD_t1,BD_t2,BD_t1_rf,BD_t2_rf,soil_texture,soil_texture_t1,per_sand_t1,per_clay_t1,soil_texture_t2,per_sand_t2,per_clay_t2,soil_pH_t1,soil_pH_t2,total_C_n_t1,total_C_n_t2,total_C_t1,total_C_t2,total_C_sd_t1,total_C_sd_t2,total_C_st_t1,total_C_st_t2,total_C_st_sd_t1,total_C_st_sd_t2,total_C_st_t1_calc,total_C_st_t2_calc,log_total_C_rr,organic_C_n_t1,organic_C_n_t2,organic_C_t1,OC_t1_calc,organic_C_t2,OC_t2_calc,log_organic_C_rr,OC_change_rate,per_OC_change,organic_C_sd_t1,organic_C_sd_t2,organic_C_t1_cov,organic_C_t2_cov,organic_C_t1_sd_calc,organic_C_t2_sd_calc,organic_C_st_t1,organic_C_st_t2,organic_C_st_t1_calc,organic_C_st_t2_calc,organic_C_st_sd_t1,organic_C_st_sd_t2,organic_C_st_t1_cov,organic_C_st_t2_cov,organic_C_st_sd_t1_calc,organic_C_st_sd_t2_calc,log_organic_C_st_rr,OC_st_change_rate,per_OC_st_change,inorganic_C_n_t1,inorganic_C_n_t2,inorganic_C_t1,inorganic_C_t2,inorganic_C_sd_t1,inorganic_C_sd_t2,inorganic_C_sd_t1_cov,inorganic_C_sd_t2_cov,inorganic_C_sd_t1_calc,inorganic_C_sd_t2_calc,inorganic_C_st_t1,inorganic_C_st_t2,inorganic_C_st_sd_t1,inorganic_C_st_sd_t2,inorganic_C_st_t1_calc,inorganic_C_st_t2_calc,inorganic_C_st_t1_cov,inorganic_C_st_t2_cov,inorganic_C_st_t1_sd_cov,inorganic_C_st_t2_sd_cov,log_inorg_C_rr,total_N_n_t1,total_N_n_t2,total_N_t1,total_N_t2,total_N_sd_t1,total_N_sd_t2,total_N_t1_cov,total_N_t2_cov,total_N_t1_sd_calc,total_N_t2_sd_calc,total_N_st_t1,total_N_st_t2,total_N_st_sd_t1,total_N_st_sd_t2,total_N_st_t1_calc,total_N_st_t2_calc,log_total_N_rr,total_N_st_t1_cov,total_N_st_t2_cov,total_N_st_t1_sd_calc,total_N_st_t2_sd_calc
31b,Ramirez-Fuentes et al.,2002,Mexico,Mezquital-3,North America,no,,39° 06' N,5° 40' W,2000,313,550,542,17,16.1,semiarid,0.3269,Semi-Arid,3.0517,mixed,cereals,yes,,,,,,,,no,yes,no,22,33,11,medium term,furrow,floodfurr,sewage,8.4,295.3,5.4,,,Farm,0,20,20,0-10cm,0-10cm,1.377961207,1.277410167,1.377961207,1.277410167,coarse,SL,58.3,19.9,SL,67.7,12.5,7.8,7.2,,,,,,,,,,,,,,1,1,19.2,19.2,16.2,16.2,-0.169899037,-0.272727273,-15.625,1.8,1.3341186,,,1.8142848,1.365335166,52.91371035,41.38808941,52.91371035,41.38808941,4.97626989,2.31101005,,,4.97626989,2.31101005,-0.245669336,-1.047783722,-21.78191788,1,1,2.6,0.6,,,,,1.53877551,0.214269747,,,,,7.165398276,1.5328922,,,,,-1.466337069,1,1,2,1.7,,,,,0.320685435,0.406837607,,,,,5.511844828,4.343194568,-0.162518929,,,0.688980604,0.620456367
32,Rochester,2011,Australia,Narrabri-2,Oceania,no,,30° 12' S,149° 36' E,,200,645,627,,19.2,subtropical,0.2989,Semi-Arid,3.3604,cotton,woody crops,no,,,RT,no,no,no,yes,yes,yes,no,25,35,10,medium term,furrow,floodfurr,fresh,,,,,,Plot,0,30,30,10-20cm,10-20cm,1.27,1.24,1.298439,1.262653,fine,C,,,C,,,7.9,7.9,,,,,,,,,,,,,,4,4,10.2,10.2,10.8,10.8,0.057158414,0.06,5.882352941,0.95625,0.8894124,,,0.9638388,0.910223444,38.862,40.176,38.862,40.176,3.65477679,2.243329931,,,3.65477679,2.243329931,0.033252893,0.1314,3.381194998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Rochester,2011,Australia,Narrabri-2,Oceania,no,,30° 12 'S,149° 36' E,,200,645,627,,19.2,subtropical,0.2989,Semi-Arid,3.3604,cotton,woody crops,no,,,RT,no,no,no,yes,yes,yes,no,31,35,4,short term,furrow,floodfurr,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,1.505,1.505,1.4690855,1.4630505,fine,C,,,C,,,7.9,7.9,,,,,,,,,,,,,,4,4,8.19,8.19,7.78,7.78,-0.05135756,-0.1025,-5.006105006,0.7678125,0.64070634,,,0.77390586,0.655697999,36.97785,35.1267,36.97785,35.1267,3.477581903,1.961389324,,,3.477581903,1.961389324,-0.05135756,-0.4627875,-5.006105006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Rotenberg et al.,2005,USA,Hancock,North America,no,,44° 07' N,89° 32' W,,334,,808,,6.7,,0.7917,Humid,1.2611,mixed,horticulture,yes,frequent,multiple,CT,,no,yes,yes,no,no,no,1,4,3,short term,sprinkler,sprinkler,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.5,1.5,1.528354598,1.534080167,coarse,LS,,,LS,,,6.6,6.6,,,,,,,,,,,,,,5,5,6.088888889,6.088888889,4.977777778,4.977777778,-0.201482055,-0.37037037,-18.24817518,0.570833333,0.409934933,,,0.575363467,0.419526855,13.7,11.2,13.7,11.2,1.2884165,0.625380706,,,1.2884165,0.625380706,-0.201482055,-0.833333333,-18.24817518,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,1.2,1,,,1.2,1,,,,0.15,0.142857143
34,Rusan et al.,2007,Jordan,Ramtha,Middle East,no,,32° 34' N,36° 01' E,,511,,333,,18,arid,0.161,Arid,6.2823,cereals,cereals,no,,,,,no,,,,yes,no,0,10,10,medium term,flood,floodfurr,waste,7.3,,,,,Plot,0,20,20,0-10cm,0-10cm,1.352048563,1.357264,1.352048563,1.357264,fine,C,,,C,,,8,7.94,,,,,,,,,,,,,,3,3,3.89,3.89,7.22,7.22,0.618445795,0.333,85.60411311,0.3646875,0.59458866,,,0.36758166,0.608501228,10.51893782,19.59889216,10.51893782,19.59889216,0.989253507,1.094354376,,,0.989253507,1.094354376,0.622295808,0.907995434,86.32006858,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,0.093,0.181,,,0.093,0.181,,,,0.011625,0.025857143
34,Rusan et al.,2007,Jordan,Ramtha,Middle East,no,,32° 34' N,36° 01' E,,511,,333,,18,arid,0.161,Arid,6.2823,cereals,cereals,no,,,,,no,,,,yes,no,0,10,10,medium term,flood,floodfurr,waste,7.3,,,,,Plot,20,40,20,20-30cm,20-30cm,1.360595115,1.371779833,1.360595115,1.371779833,fine,C,,,C,,,8.17,8.17,,,,,,,,,,,,,,3,3,3.09,3.09,4.27,4.27,0.323442736,0.118,38.18770227,0.2896875,0.35164731,,,0.29198646,0.35987538,8.408477811,11.71499977,8.408477811,11.71499977,0.790775296,0.654137038,,,0.790775296,0.654137038,0.331629593,0.330652196,39.32366877,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,0.093,0.11,,,0.093,0.11,,,,0.011625,0.015714286
34,Rusan et al.,2007,Jordan,Ramtha,Middle East,no,,32° 34' N,36° 01' E,,511,,333,,18,arid,0.161,Arid,6.2823,cereals,cereals,no,,,,,no,,,,yes,no,0,10,10,medium term,flood,floodfurr,waste,7.3,,,,,Plot,40,60,20,40-50cm,30+cm,1.345139655,1.380918667,1.345139655,1.380918667,fine,C,,,C,,,8.31,8.28,,,,,,,,,,,,,,3,3,1.89,1.89,2.8,2.8,0.393042588,0.091,48.14814815,0.1771875,0.2305884,,,0.17859366,0.235983856,5.084627896,7.733144535,5.084627896,7.733144535,0.47818383,0.431799945,,,0.47818383,0.431799945,0.419293726,0.264851664,52.08870135,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,0.073,0.088,,,0.073,0.088,,,,0.009125,0.012571429
35,Sanchez-Garcia et al.,2016,Spain,Casa Pareja,Europe,no,,38° 23' N,1° 22' W,,472,250,342,16.1,15.7,semiarid,0.2064,Semi-Arid,4.9854,woody perennials,woody crops,no,3,multiple,RT,,no,no,no,no,no,no,15,17,2,short term,drip,drippers,fresh,,,,,,Plot,0,5,5,0-10cm,0-10cm,1.341080747,1.3413675,1.341080747,1.3413675,coarse,SL,57,16,SL,57,16,8.01,8.01,,,,,,,,,,,,,,3,3,12.85,12.85,17.31,17.31,0.297940558,2.23,34.70817121,1.79,1.77,0.139299611,0.102253033,1.2142479,1.458885909,8.616443799,11.60953571,8.616443799,11.60953571,0.810333457,0.648248182,,,0.810333457,0.648248182,0.298154357,1.496545957,34.73697482,,,,,,,,,,,,,,,,,,,,,,3,3,1.15,1.84,0.18,0.09,0.156521739,0.048913043,0.184394125,0.44034188,,,,,0.77112143,1.2340581,0.470003629,,,0.096390179,0.176294014
36,Sanchez-Gonzalez et al.,2017,Mexico,Mezquital-4,North America,no,,39° 06' N,5° 40' W,,313,600,542,17,16.1,semiarid,0.3269,Semi-Arid,3.0517,mixed,cereals,yes,frequent,multiple,CT,,no,no,,,yes,no,15,100,85,long term,furrow,floodfurr,sewage,,,,,,Farm,0,30,30,10-20cm,10-20cm,1.1,1.1,1.187012931,1.182334667,fine,CL,,,CL,,,,,,,,,,,,,,,,,,4,3,14.90909091,14.90909091,17.90909091,17.90909091,0.183337301,0.035294118,20.12195122,1.397727273,1.474867364,,,1.408819636,1.50937726,49.2,59.1,49.2,59.1,11.3,3.3,0.229674797,0.055837563,4.627014,3.299999973,0.183337301,0.116470588,20.12195122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Schmer et al.,2014,USA,Ithaca,North America,no,,41° 10' N,96° 25' W,349,350,740,797,9.8,10.3,,0.5774,Dry sub-humid,1.7227,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,10,9,medium term,sprinklers,sprinkler,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.36,1.36,1.388025862,1.385427833,medium,SiL,,,SiL,,,,,,,,,,,,,,,,,,6,6,19.41176471,19.41176471,20.98039216,20.98039216,0.077708984,0.174291939,8.080808081,1.397727273,1.727798235,,,1.834295294,1.76822637,39.6,42.8,39.6,42.8,3.724182,2.389847696,,,3.724182,2.389847696,0.077708984,0.355555556,8.080808081,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,3.2,3.49,,,3.2,3.49,,,,0.4,0.498571429
37,Schmer et al.,2014,USA,Ithaca,North America,no,,41° 10' N,96° 25' W,349,350,740,797,9.8,10.3,,0.5774,Dry sub-humid,1.7227,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,10,9,medium term,sprinklers,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.47,1.47,1.463397989,1.466883833,medium,SiL,,,SiL,,,,,,,,,,,,,,,,,,6,6,18.86621315,18.86621315,16.59863946,16.59863946,-0.128051927,-0.251952633,-12.01923077,1.819852941,1.366947755,,,1.782743946,1.398932479,41.6,36.6,41.6,36.6,3.912272,2.043654806,,,3.912272,2.043654806,-0.128051927,-0.555555556,-12.01923077,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,3.26,3.08,,,3.26,3.08,,,,0.4075,0.44
37,Schmer et al.,2014,USA,Ithaca,North America,no,,41° 10' N,96° 25' W,349,350,740,797,9.8,10.3,,0.5774,Dry sub-humid,1.7227,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,10,9,medium term,sprinklers,sprinkler,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,1.46,1.46,1.452020259,1.4527605,medium,SiL,,,SiL,,,,,,,,,,,,,,,,,,6,6,7.728310502,7.728310502,7.608447489,7.608447489,-0.015631133,-0.013318113,-1.550960118,1.768707483,0.626578476,,,0.730278973,0.641239563,33.85,33.325,33.85,33.325,3.18342325,1.860786787,,,3.18342325,1.860786787,-0.015631133,-0.058333333,-1.550960118,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,5.29,5.17,,,3.2525,3.2425,,,,0.4065625,0.463214286
38a,Silva et al.,2016,Brazil,Petrolina-2 -N,South America,yes,N-,9° 08' S,40° 19' W,373,375,,572,,25.3,semiarid,0.3151,Semi-Arid,3.3164,woody perennials,woody crops,no,,,,,no,no,no,,no,no,0,2,2,short term,drippers,drippers,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.473103161,1.469595167,1.473103161,1.469595167,coarse,LS,81,6,LS,81,6,6.7,6.5,,,,,,,,,,,,,,5,5,10.4,10.4,7.97,7.97,-0.266121313,-1.215,-23.36538462,0.72452911,0.65635341,,,0.9827376,0.67171119,30.64054575,23.42534696,30.64054575,23.42534696,2.881590125,1.308014287,,,2.881590125,1.308014287,-0.268505517,-3.607599393,-23.54787949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38a,Silva et al.,2016,Brazil,Petrolina-2 -N,South America,yes,N-,9° 08' S,40° 19' W,373,375,,572,,25.3,semiarid,0.3151,Semi-Arid,3.3164,woody perennials,woody crops,no,,,,,no,no,no,,no,no,0,2,2,short term,drippers,drippers,fresh,,,,,,Plot,20,40,20,20-30cm,20-30cm,1.495112356,1.513363333,1.495112356,1.513363333,coarse,,,,,,,6.2,6.2,,,,,,,,,,,,,,5,5,4.9,4.9,3.54,3.54,-0.325108478,-0.68,-27.75510204,0.975,0.29152962,,,0.4630206,0.298351018,14.65210109,10.7146124,14.65210109,10.7146124,1.377956847,0.598277845,,,1.377956847,0.598277845,-0.31297529,-1.968744346,-26.87320178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38b,Silva et al.,2016,Brazil,Petrolina-2 +N,South America,yes,N+,9° 08' S,40° 19' W,373,375,,572,,25.3,semiarid,0.3151,Semi-Arid,3.3164,woody perennials,woody crops,no,,,,,no,no,yes,,no,no,0,2,2,short term,drippers,drippers,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.483809483,1.480792333,1.483809483,1.480792333,coarse,LS,81,6,LS,81,6,6.7,6.4,,,,,,,,,,,,,,5,5,10.4,10.4,6.6,6.6,-0.454736157,-1.9,-36.53846154,0.459375,0.9,,0.136363636,0.9827376,0.55624766,30.86323725,19.5464588,30.86323725,19.5464588,2.902533147,1.091426624,,,2.902533147,1.091426624,-0.456771608,-5.658389225,-36.66750302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38b,Silva et al.,2016,Brazil,Petrolina-2 +N,South America,yes,N+,9° 08' S,40° 19' W,373,375,,572,,25.3,semiarid,0.3151,Semi-Arid,3.3164,woody perennials,woody crops,no,,,,,no,no,yes,,no,no,0,2,2,short term,drippers,drippers,fresh,,,,,,Plot,20,40,20,20-30cm,20-30cm,1.496480172,1.5120125,1.496480172,1.5120125,coarse,,,,,,,6.2,6,,,,,,,,,,,,,,5,5,4.9,4.9,4.1,4.1,-0.178248231,-0.4,-16.32653061,0.459375,0.7,,0.170731707,0.4630206,0.345547789,14.66550569,12.3985025,14.66550569,12.3985025,1.379217482,0.692302164,,,1.379217482,0.692302164,-0.167922485,-1.133501593,-15.45806353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39a,Stewart et al.,2017,USA,Fort Collins-2 -N,North America,yes,N-,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,1,12,11,medium term,sprinklers,sprinkler,fresh,7.5,,,,,Plot,0,8,7.5,0-10cm,0-10cm,1.44,1.37,1.445574,1.381616,fine,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,11,11,13.3,13.3,0.189868762,0.209090909,20.90909091,1.03125,1.0952949,,,1.039434,1.120923315,11.88,13.66575,11.88,13.66575,1.1172546,0.763062177,,,1.1172546,0.763062177,0.140036389,0.162340909,15.03156566,,,,,,,,,,,,,,,,,,,,,,3,3,1.29,1.54,,,,,0.206842,0.368547,,,,,1.491833,1.702151,0.177140198,,,0.186479,0.243164
39a,Stewart et al.,2017,USA,Fort Collins-2 -N,North America,yes,N-,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,1,12,11,medium term,sprinklers,sprinkler,fresh,7.5,,,,,Plot,8,15,7.5,10-20cm,10-20cm,1.5,1.56,1.494523,1.531206,fine,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,10.9,10.9,8.8,8.8,-0.214011068,-0.190909091,-19.26605505,1.021875,0.7247064,,,1.0299846,0.741663547,12.2625,10.296,12.2625,10.296,1.153226813,0.574903549,,,1.153226813,0.574903549,-0.174790355,-0.178772727,-16.03669725,,,,,,,,,,,,,,,,,,,,,,3,3,1.25,1.27,,,,,0.200428,0.303932,,,,,1.307708,1.361242,0.015873349,,,0.163463,0.194463
39a,Stewart et al.,2017,USA,Fort Collins-2 -N,North America,yes,N-,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,1,12,11,medium term,sprinklers,sprinkler,fresh,7.5,,,,,Plot,15,30,15,20-30cm,20-30cm,1.51,1.56,1.503045,1.523116,fine,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,9,9,8,8,-0.117783036,-0.090909091,-11.11111111,0.84375,0.658824,,,0.850446,0.674239588,20.385,18.72,20.385,18.72,1.917107325,1.045279179,,,1.917107325,1.045279179,-0.085206865,-0.151363636,-8.167770419,,,,,,,,,,,,,,,,,,,,,,3,3,1.45,1.11,,,,,0.232497,0.265641,,,,,3.269123,2.535989,-0.267203541,,,0.40864,0.362284
39a,Stewart et al.,2017,USA,Fort Collins-2 -N,North America,yes,N-,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,1,12,11,medium term,sprinklers,sprinkler,fresh,7.5,,,,,Plot,30,60,30,40-50cm,30+cm,1.426403,1.445732667,1.426403,1.445732667,fine,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,2.733333333,2.733333333,1.933333333,1.933333333,-0.346276237,-0.072727273,-29.26829268,0.25625,0.1592158,,,0.2582836,0.162941234,11.6965046,8.385249467,11.6965046,8.385249467,1.099997775,0.468211895,,,1.099997775,0.468211895,-0.332815899,-0.301023194,-28.30978353,,,,,,,,,,,,,,,,,,,,,,3,3,0.45,0.426666667,,,,,0.072154333,0.102108,,,,,1.925948667,1.849869333,-0.053244515,,,0.240743667,0.264267333
39b,Stewart et al.,2017,USA,Fort Collins-2 +N,North America,yes,N+,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,12,11,medium term,sprinklers,sprinkler,fresh,7.5,,,,,Plot,0,8,7.5,0-10cm,0-10cm,1.44,1.37,1.428299,1.365954,fine,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,12.7,12.7,17,17,0.291611351,0.390909091,33.85826772,0.4,1.4,0.031496,0.082353,1.2000738,1.432759125,13.716,17.4675,13.716,17.4675,1.28992122,0.975342632,,,1.28992122,0.975342632,0.241778977,0.341045455,27.35126859,,,,,,,,,,,,,,,,,,,,,,3,3,1.39,1.87,,,,,0.222876,0.447521,,,,,1.588269,2.043467,0.296634684,,,0.198534,0.291924
39b,Stewart et al.,2017,USA,Fort Collins-2 +N,North America,yes,N+,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,12,11,medium term,sprinklers,sprinkler,fresh,7.5,,,,,Plot,8,15,7.5,10-20cm,10-20cm,1.5,1.56,1.497,1.533128,fine,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,10.9,10.9,9.4,9.4,-0.1480531,-0.136363636,-13.76146789,0.4,0.4,0.036697,0.042553,1.0299846,0.792231516,12.2625,10.998,12.2625,10.998,1.153226813,0.614101518,,,1.153226813,0.614101518,-0.108832387,-0.114954545,-10.31192661,,,,,,,,,,,,,,,,,,,,,,3,3,1.26,1.17,,,,,0.202032,0.28,,,,,1.320354,1.255632,-0.074107972,,,0.165044,0.179376
39b,Stewart et al.,2017,USA,Fort Collins-2 +N,North America,yes,N+,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,12,11,medium term,sprinklers,sprinkler,fresh,7.5,,,,,Plot,15,30,15,20-30cm,20-30cm,1.51,1.56,1.494406,1.542022,fine,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,9.6,9.6,8.5,8.5,-0.121696935,-0.1,-11.45833333,0.3,0.4,0.03125,0.047059,0.9071424,0.716379562,21.744,19.89,21.744,19.89,2.04491448,1.110609128,,,2.04491448,1.110609128,-0.089120765,-0.168545455,-8.526490066,,,,,,,,,,,,,,,,,,,,,,3,3,1.15,1.08,,,,,0.184394,0.258462,,,,,2.57785,2.498076,-0.062800901,,,0.322231,0.356868
39b,Stewart et al.,2017,USA,Fort Collins-2 +N,North America,yes,N+,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,12,11,medium term,sprinklers,sprinkler,fresh,7.5,,,,,Plot,30,60,30,40-50cm,30+cm,1.425718,1.447054,1.425718,1.447054,fine,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,3.333333333,3.333333333,2.3,2.3,-0.371063681,-0.093939394,-31,0.233333333,0.433333333,0.0625,0.162162,0.31498,0.193843882,14.25718,9.9846726,14.25718,9.9846726,1.340816493,0.557519785,,,1.340816493,0.557519785,-0.356209462,-0.388409764,-29.9674087,,,,,,,,,,,,,,,,,,,,,,3,3,0.486666667,0.356666667,,,,,0.078033333,0.085356333,,,,,2.079833667,1.545547,-0.310777787,,,0.259979333,0.220792333
40,Stone et al.,2008,USA,Duplin County,North America,no,,35° 05' N,78° 02' W,,36,1232,1285,,16.4,,0.8778,Humid,1.1354,cereals,cereals,no,,,,yes,no,yes,yes,,yes,no,1,4,3,short term,subsurface drip,drippers,mixed,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.493709483,1.5013545,1.493709483,1.5013545,coarse,LS,,,LS,,,,,,,,,,,,,,,,,,4,4,6.46,6.46,5.48,5.48,-0.164524217,-0.326666667,-15.17027864,1.1,1,0.170278638,0.182481752,0.61043124,0.461854118,14.47404489,12.34113399,14.47404489,12.34113399,1.361211552,0.689098847,,,1.361211552,0.689098847,-0.159419128,-0.7109703,-14.73610809,,,,,,,,,,,,,,,,,,,,,,4,4,0.43,0.48,0.07,0.32,0.162790698,0.666666667,0.068947368,0.114871795,,,,,0.963442617,1.08097524,0.110000895,,,0.120430327,0.154425034
40,Stone et al.,2008,USA,Duplin County,North America,no,,35° 05' N,78° 02' W,,36,1232,1285,,16.4,,0.8778,Humid,1.1354,cereals,cereals,no,,,,yes,no,yes,yes,,yes,no,1,4,3,short term,subsurface drip,drippers,mixed,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.503863506,1.513275,1.503863506,1.513275,coarse,LS,,,LS,,,,,,,,,,,,,,,,,,4,4,4.23,4.23,2.93,2.93,-0.36719957,-0.433333333,-30.73286052,0.96,0.79,0.226950355,0.269624573,0.39970962,0.246940249,9.542013946,6.650843625,9.542013946,6.650843625,0.897378702,0.3713669,,,0.897378702,0.3713669,-0.360960861,-0.96372344,-30.2993722,,,,,,,,,,,,,,,,,,,,,,4,4,0.27,0.34,0.34,0.39,1.259259259,1.147058824,0.043292534,0.081367521,,,,,0.60906472,0.77177025,0.230523659,,,0.07613309,0.110252893
40,Stone et al.,2008,USA,Duplin County,North America,no,,35° 05' N,78° 02' W,,36,1232,1285,,16.4,,0.8778,Humid,1.1354,cereals,cereals,no,,,,yes,no,yes,yes,,yes,no,1,4,3,short term,subsurface drip,drippers,mixed,,,,,,Plot,30,45,15,30-40cm,30+cm,1.471174138,1.48659675,1.471174138,1.48659675,coarse,LS,,,LS,,,,,,,,,,,,,,,,,,4,4,2.74,2.74,1.82,1.82,-0.409121419,-0.306666667,-33.57664234,0.845,0.555,0.256410256,0.322115385,0.25891356,0.153389506,6.046525707,4.058409128,6.046525707,4.058409128,0.56864551,0.226611675,,,0.56864551,0.226611675,-0.398692788,-0.662705527,-32.88031303,,,,,,,,,,,,,,,,,,,,,,4,4,0.12,0.215,0.04,0.11,0.285714286,0.5,0.019241126,0.051452992,,,,,0.264636871,0.479462388,0.583146285,,,0.033079609,0.068494627
41a,Trost et al.,2016,Germany,Thyrow-N,Europe,yes,N-,52° 15' N,13° 14' E,43,47,495.3,544,8.9,9.2,,0.6194,Dry sub-humid,1.6305,mixed,cereals,yes,1,once,CT,no,no,no,no,yes,no,yes,30,43,13,medium term,sprinkler,sprinkler,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.67,1.67,1.649214943,1.660504167,coarse,LS,83,3,LS,83,3,5.6,5.6,,,,,,,,,,,,,,5,5,5.628742515,5.628742515,5.958083832,5.958083832,0.056862862,0.025333947,5.85106383,0.527694611,0.490666078,,,0.531882395,0.502146999,18.8,19.9,18.8,19.9,1.768046,1.111167504,,,1.768046,1.111167504,0.056862862,0.084615385,5.85106383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41b,Trost et al.,2016,Germany,Thyrow+N,Europe,yes,N+,52° 15' N,13° 14' E,43,47,495.3,544,8.9,9.2,,0.6194,Dry sub-humid,1.6305,mixed,cereals,yes,1,once,CT,no,no,no,yes,yes,no,yes,30,43,13,medium term,sprinkler,sprinkler,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.67,1.67,1.648025,1.657940833,coarse,LS,83,3,LS,83,3,5.6,5.6,,,,,,,,,,,,,,5,5,6.377245509,6.377245509,6.886227545,6.886227545,0.076787143,0.039152464,7.981220657,0.597866766,0.567101497,,,0.602611437,0.580370903,21.3,23,21.3,23,0.4,1.1,0.018779343,0.047826087,2.0031585,1.284263949,0.076787143,0.130769231,7.981220657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
